Property_ID;Area_SqFt;Rooms;Build_Year;Location;Street_Type;Furnishing;Property_Type;Has_Pool;Price
1;2473,192784;4;1992;Jaipur;Residential Lane;Furnished;Apartment;No;568486
2;2353,472711;4;2006;Indore;Corner Plot;Unfurnished;Apartment;Yes;577214
3;2212,222005;3;2012;Jaipur;Highway Facing;Semi-Furnished;Duplex;No;581300
4;2823,886596;6;1993;Lucknow;Main Road;Unfurnished;Villa;Yes;794614
5;1869,648721;5;2012;Jaipur;Corner Plot;Semi-Furnished;Apartment;No;493086
6;2073,80225;5;1986;Kanpur;Residential Lane;Semi-Furnished;Apartment;No;470693
7;2103,042886;3;2020;Indore;Corner Plot;;Apartment;No;552164
8;4316,818615;6;2008;Lucknow;Corner Plot;Semi-Furnished;Apartment;No;988286,819
9;2520,167537;4;2019;Prayagraj;Residential Lane;Semi-Furnished;Apartment;No;583210
10;2382,194887;3;2017;Jaipur;Gated Society;Semi-Furnished;Independent House;Yes;694155
11;2160,394433;6;1998;Prayagraj;Residential Lane;Furnished;Apartment;No;552135
12;2117,206378;4;2016;Lucknow;Gated Society;Semi-Furnished;Duplex;No;608117
13;1906,07095;4;2013;Indore;Highway Facing;Semi-Furnished;Duplex;Yes;551382
14;1393,167663;6;1990;Lucknow;Corner Plot;Semi-Furnished;Duplex;No;480838
15;1774,276388;2;2023;Delhi;Main Road;Semi-Furnished;Apartment;No;516094
16;1457,835515;7;1992;Kanpur;Gated Society;Semi-Furnished;Apartment;No;423867
17;1833,666659;2;1996;Noida;Highway Facing;Furnished;Apartment;No;461212
18;2256,291225;3;2012;Prayagraj;Main Road;Semi-Furnished;Independent House;Yes;594145
19;825,6824721;7;2016;Jaipur;Highway Facing;Semi-Furnished;Apartment;No;373669
20;2124,489948;3;1990;Jaipur;Main Road;Furnished;Independent House;No;587632
21;2634,320043;5;2020;Gurugram;Highway Facing;Furnished;Apartment;Yes;759944
22;2121,095774;3;2024;Lucknow;Main Road;Furnished;Duplex;Yes;670503
23;;5;2000;Delhi;Corner Plot;Semi-Furnished;Apartment;No;585692
24;2342,935537;2;2019;Indore;Highway Facing;Unfurnished;Apartment;No;513401
25;2669,698783;7;2009;Prayagraj;Residential Lane;Furnished;Independent House;No;741340
26;2777,141066;2;2020;Delhi;Gated Society;Furnished;Apartment;No;767737
27;2676,976224;2;1996;Kanpur;Gated Society;Semi-Furnished;Duplex;No;664507
28;1134,993085;2;2012;Delhi;Gated Society;Furnished;Independent House;No;471846
29;3013,916826;2;2012;Kanpur;Gated Society;Unfurnished;Independent House;No;692447
30;2129,817363;7;2015;Delhi;Corner Plot;Furnished;Apartment;No;686516
31;1954,416776;3;2009;Kanpur;Residential Lane;Unfurnished;Apartment;No;428810
32;2549,311903;3;2011;Noida;Main Road;Unfurnished;Apartment;No;583833
33;2447,375721;3;2010;Delhi;Gated Society;;Apartment;No;720548
34;1549,203908;7;2000;Gurugram;Corner Plot;Semi-Furnished;Apartment;Yes;553767
35;1539,927544;3;2006;Kanpur;Main Road;Furnished;Villa;No;551212
36;1708,78385;2;1992;Lucknow;Corner Plot;Semi-Furnished;Apartment;No;376354
37;2225,064512;4;2024;Prayagraj;Residential Lane;Semi-Furnished;Apartment;No;509383
38;1836,017444;5;2010;Prayagraj;Main Road;Semi-Furnished;Apartment;Yes;524827
39;2136,489625;7;2009;Prayagraj;Main Road;Unfurnished;Independent House;No;603139
40;3367,185908;4;1996;Gurugram;Gated Society;Furnished;Apartment;No;851078
41;2584,50081;5;2017;Prayagraj;Residential Lane;Semi-Furnished;Independent House;No;654808
42;2129,373319;3;2003;Delhi;Gated Society;Semi-Furnished;Independent House;No;638105
43;2389,237472;5;2008;Gurugram;Corner Plot;Furnished;Villa;No;797935
44;2445,459141;2;2017;Gurugram;Corner Plot;Furnished;Apartment;No;650435
45;1969,820115;3;2019;Noida;Gated Society;Unfurnished;Apartment;No;528162
46;1875,849384;5;1995;Lucknow;Main Road;Unfurnished;Apartment;No;470946
47;2503,455356;4;2019;Noida;Main Road;Unfurnished;Apartment;No;611440
48;3054,072877;2;2019;Delhi;Main Road;;Villa;Yes;894422
49;2575,074134;2;2020;Delhi;Highway Facing;Furnished;Apartment;Yes;701929
50;3251,774702;6;1989;Delhi;Corner Plot;Semi-Furnished;Villa;No;942094
51;2543,265899;6;2023;Noida;Gated Society;Semi-Furnished;Independent House;No;779298
52;2688,941362;2;2022;Prayagraj;Residential Lane;Semi-Furnished;Duplex;Yes;679739
53;5648,321783;7;2003;Prayagraj;Main Road;Unfurnished;Apartment;No;1355674,054
54;2302,416789;5;1990;Gurugram;Gated Society;Semi-Furnished;Independent House;No;690306
55;1764,554012;7;1987;Noida;Corner Plot;Semi-Furnished;Independent House;No;544324
56;2556,15696;2;1987;Kanpur;Main Road;Semi-Furnished;Apartment;No;532557
57;2011,23932;;2016;Jaipur;Gated Society;Furnished;Duplex;No;698661
58;2107,561066;4;2004;Jaipur;Main Road;Furnished;Apartment;Yes;587094
59;2990,21507;4;1996;Indore;Corner Plot;Furnished;Apartment;No;662008
60;2454,498373;3;2012;Delhi;Corner Plot;Unfurnished;Independent House;Yes;678874
61;1148,011416;5;1997;Prayagraj;Gated Society;Unfurnished;Villa;No;453967
62;1473,871736;7;1989;Delhi;Main Road;Semi-Furnished;Duplex;Yes;648863
63;2954,807788;2;2006;Delhi;Gated Society;Furnished;Apartment;No;744065
64;2320,275701;6;2015;Gurugram;Gated Society;Semi-Furnished;Independent House;No;722931
65;1845,648651;6;1998;Delhi;Highway Facing;Furnished;Apartment;Yes;641824
66;2384,771809;3;2012;Jaipur;Residential Lane;Semi-Furnished;Independent House;No;598958
67;1915,148259;2;1989;Gurugram;Main Road;Semi-Furnished;Independent House;Yes;581398
68;2968,236468;7;1986;Jaipur;Corner Plot;Unfurnished;Independent House;No;713664
69;2652,843884;4;2018;Kanpur;Main Road;Unfurnished;Apartment;No;631656
70;2739,851057;6;2013;Indore;Main Road;Semi-Furnished;Apartment;Yes;715326
71;2411,235997;6;1986;Gurugram;Highway Facing;Furnished;Apartment;No;646834
72;1594,311452;2;1987;Gurugram;Gated Society;Unfurnished;Independent House;No;473554
73;2538,85866;3;2012;Kanpur;Gated Society;Semi-Furnished;Independent House;No;633278
74;2632,318676;2;1998;Gurugram;Main Road;Furnished;Independent House;No;691849
75;2267,378024;4;2001;Delhi;Main Road;Semi-Furnished;Duplex;No;722050
76;2639,830172;7;2010;Kanpur;Residential Lane;Semi-Furnished;Apartment;No;636412
77;2668,271151;7;2002;Gurugram;Highway Facing;Furnished;Apartment;No;716306
78;2097,202183;2;2001;Noida;Corner Plot;Furnished;Apartment;Yes;564036
79;1002,825236;2;2002;Jaipur;Residential Lane;Semi-Furnished;Independent House;Yes;337270
80;1095,837588;6;1990;Indore;Residential Lane;Furnished;Independent House;No;415465
